datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,plantSoil,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),Stem diameter,communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Mycorrhizal infection (%),Germination%,NumberofGerminatedSeedlings,Column4,Column5
138,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from High burn severity forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,see noteTreatments,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Picea abies,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,1,1,,"4,5 months",0.11,0.02,0.11,0.02,0.06,0.02,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from Low burn severity forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Picea abies,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,1,1,,"4,5 months",0.32,0.05,0.2,0.04,0.11,0.02,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from unburnt forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Picea abies,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,1,1,,"4,5 months",0.23,0.07,0.15,0.04,0.08,0.03,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,10.1007/s10021-021-00666-0,no,greenhouse,Control: Just sterile background soil,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Picea abies,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,1,0,,"4,5 months",0.21,0.05,0.13,0.03,0.08,0.02,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from High burn severity forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Pinus sylvestris,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,2,1,,"4,5 months",0.5,0.09,0.32,0.07,0.17,0.03,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from Low burn severity forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Pinus sylvestris,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,2,1,,"4,5 months",0.67,0.13,0.4,0.07,0.27,0.1,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from unburnt forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Pinus sylvestris,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,2,1,,"4,5 months",0.42,0.08,0.27,0.06,0.14,0.03,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,10.1007/s10021-021-00666-0,no,greenhouse,Control: Just sterile background soil,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Pinus sylvestris,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,2,0,,"4,5 months",0.41,0.1,0.25,0.07,0.15,0.03,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from High burn severity forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Betula pendula,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,3,1,,"4,5 months",0.94,0.18,0.5,0.11,0.43,0.08,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from Low burn severity forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Betula pendula,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,3,1,,"4,5 months",1.13,0.2,0.64,0.14,0.48,0.08,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,10.1007/s10021-021-00666-0,soil,greenhouse,Inoculum: Soil from unburnt forest stand,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Betula pendula,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,3,1,,"4,5 months",1.04,0.17,0.58,0.1,0.45,0.08,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,10.1007/s10021-021-00666-0,no,greenhouse,Control: Just sterile background soil,"Soil that was inoculated was sterilized soil from either high, low, or unburned sites","59.8°N, 16.1°E, Västmanland burn site 2014",1,forest,forest,boreal,EM,other,,,"NO3-, NH4+, PO4^3-",forest (varying classes of burn severity),Betula pendula,"There is also info about the effects of sterilized potting soil used (high, low, unburned), not differentiated into individual inoculation treatments",,3,0,,"4,5 months",1.17,0.25,0.66,0.14,0.51,0.11,,SE,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, plants sown with soil from their local origin",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)","values of individual species can be taken from graphs, interesting graph about community composition over time in supp.",0,1,1,,3 months,,,7.6,0.28,,,,SE,480,,,,,,,,,,,2.49,0.09,SE,,0.85,0.02,SE,,,,,,,,,,,,,,,
151,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, activated carbon,  plants sown with soil from their local origin","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,2,1,,3 months,,,5.66,0.23,,,,SE,480,,,,,,,,,,,2.39,0.09,SE,,0.83,0.02,SE,,,,,,,,,,,,,,,
152,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile inoculum from grassland, plants sown with soil from their local origin",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,1,0,,3 months,,,7.92,0.3,,,,SE,480,,,,,,,,,,,2.11,0.09,SE,,0.87,0.02,SE,,,,,,,,,,,,,,,
153,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile inoculum from grassland, activated carbon, plants sown with soil from their local origin","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,2,0,,3 months,,,7.28,0.28,,,,SE,480,,,,,,,,,,,1.86,0.09,SE,,0.75,0.03,SE,,,,,,,,,,,,,,,
154,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, plants have two different genotypes: one of inoculum origin, other from away",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,3,1,,3 months,,,7.25,0.3,,,,SE,480,,,,,,,,,,,2.71,0.08,SE,,0.87,0.02,SE,,,,,,,,,,,,,,,
155,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, activated carbon, plants have two different genotypes: one of inoculum origin, other from away","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,4,1,,3 months,,,6.76,0.26,,,,SE,480,,,,,,,,,,,2.29,0.09,SE,,0.86,0.02,SE,,,,,,,,,,,,,,,
156,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile soil from grassland, plants have two different genotypes: one of inoculum origin, other from away",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,3,0,,3 months,,,7.26,0.28,,,,SE,480,,,,,,,,,,,2.19,0.09,SE,,0.79,0.03,SE,,,,,,,,,,,,,,,
157,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile soil from grassland, activated carbon, plants have two different genotypes: one of inoculum origin, other from away","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,0,4,0,,3 months,,,7.29,0.28,,,,SE,480,,,,,,,,,,,2.11,0.09,SE,,0.77,0.03,SE,,,,,,,,,,,,,,,
158,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, plants sown with soil from their local origin",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,5,1,,13 months,,,5.48,0.29,,,,SE,480,,,,,,,,,,,3.44,0.26,SE,,0.92,0.02,SE,,,,,,,,,,,,,,,
159,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, activated carbon,  plants sown with soil from their local origin","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,6,1,,13 months,,,5.31,0.27,,,,SE,480,,,,,,,,,,,3.04,0.25,SE,,0.84,0.03,SE,,,,,,,,,,,,,,,
160,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile inoculum from grassland, plants sown with soil from their local origin",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,5,0,,13 months,,,6.61,0.36,,,,SE,480,,,,,,,,,,,2.47,0.25,SE,,0.92,0.02,SE,,,,,,,,,,,,,,,
161,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile inoculum from grassland, activated carbon, plants sown with soil from their local origin","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,6,0,,13 months,,,6.5,0.35,,,,SE,480,,,,,,,,,,,2.19,0.25,SE,,0.79,0.04,SE,,,,,,,,,,,,,,,
162,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, plants have two different genotypes: one of inoculum origin, other from away",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,7,1,,13 months,,,5.71,0.3,,,,SE,480,,,,,,,,,,,3.66,0.25,SE,,0.93,0.02,SE,,,,,,,,,,,,,,,
163,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, activated carbon, plants have two different genotypes: one of inoculum origin, other from away","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,8,1,,13 months,,,5.39,0.29,,,,SE,480,,,,,,,,,,,3.41,0.25,SE,,0.85,0.03,SE,,,,,,,,,,,,,,,
164,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile soil from grassland, plants have two different genotypes: one of inoculum origin, other from away",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,7,0,,13 months,,,5.82,0.31,,,,SE,480,,,,,,,,,,,2.64,0.25,SE,,0.89,0.02,SE,,,,,,,,,,,,,,,
165,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile soil from grassland, activated carbon, plants have two different genotypes: one of inoculum origin, other from away","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,?,8,0,,13 months,,,6.67,0.36,,,,SE,480,,,,,,,,,,,2.5,0.25,SE,,0.77,0.04,SE,,,,,,,,,,,,,,,
166,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, plants sown with soil from their local origin",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,,9,1,,24 months,,,3.59,7.31,,,,SE,480,,,,,,,,,,,3.48,0.25,SE,,,,,,,,,,,,,,,,,,,
167,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, activated carbon,  plants sown with soil from their local origin","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,,10,1,,24 months,,,3.2,7.6,,,,SE,480,,,,,,,,,,,3.17,0.25,SE,,,,,,,,,,,,,,,,,,,
168,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile inoculum from grassland, plants sown with soil from their local origin",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,,9,0,,24 months,,,3.76,7.85,,,,SE,480,,,,,,,,,,,2.59,0.25,SE,,,,,,,,,,,,,,,,,,,
169,10.1111/1365-2745.13220,sterile,mesocosm,"Control: sterile inoculum from grassland, activated carbon, plants sown with soil from their local origin","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,,10,0,,24 months,,,3.81,7.74,,,,SE,480,,,,,,,,,,,2.3,0.26,SE,,,,,,,,,,,,,,,,,,,
170,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, plants have two different genotypes: one of inoculum origin, other from away",,"Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,,11,1,,24 months,,,3.57,7.48,,,,SE,480,,,,,,,,,,,3.66,0.26,SE,,,,,,,,,,,,,,,,,,,
171,10.1111/1365-2745.13220,soil,mesocosm,"Inoculum: soil from grassland, activated carbon, plants have two different genotypes: one of inoculum origin, other from away","Activated carbon: Compo, Münster, Germany)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",0,grassland,grassland,subarctic,AM,other,"mixture (sterilized by gamma irradiation) of fine sand and rendizic leptosol soil from calcerousgrassland 1:2, ",,,,"Campanula rotundifolia L. (Campanulaceae), Carex flacca Schreb. (Cyperaceae), Festuca ovina L. (Poaceae), Galium verum L. (Rubiaceae), Hypericum perforatum L. (Hyperiaceae), Inula salicina L., Leontodon hispidus L. and Pilosella officinarum F.W. Schultz et Sch. Bip. (Asteraceae)",values of individual species can be taken from graphs,,12,1,,24 months,,,2.79,8.06,,,,SE,480,,,,,,,,,,,3.5,0.26,SE,,,,,,,,,,,,,,,,,,,
