datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,Column1,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercErrorN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Comments,Column2,Column3,Column4,Column5
392,10.31055/1851.2372.V53.N2.20537,no,greenhouse,Control: no inoculum,,"31.4° S, 64.6° W",1,forest,forest,temperate,AM,both,,,,,Kageneckia lanceolata,,,1,0,,6 months,,,2.37,0.62,0.75,0.18,,SE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Allium cernuum,,0,,1,con,3 months,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.04,SE,54,,,,,,,,,,,,,
396,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Allium cernuum,,0,,0,,3 months,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.04,SE,54,,,,,,,,,,,,,
397,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Allium cernuum,,0,,1,con,15 months,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.04,SE,54,,,,,,,,,,,,,
398,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Allium cernuum,,0,,0,,15 months,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.04,SE,54,,,,,,,,,,,,,
399,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Allium cernuum,,,1,1,con,27 months,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.1,SE,54,,,,,,,,,,,,,
400,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Allium cernuum,,,1,0,,27 months,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.1,SE,54,,,,,,,,,,,,,
401,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Schizyachrium scoparium,,0,,1,con,3 months,,,,,,,,,,,,,,,,,,,,,,,,1,0.04,SE,54,,,,,,,,,,,,,
402,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Schizyachrium scoparium,,0,,0,,3 months,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.04,SE,54,,,,,,,,,,,,,
403,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Schizyachrium scoparium,,,1,1,con,15 months,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.09,SE,54,,,,,,,,,,,,,
404,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Schizyachrium scoparium,,,1,0,,15 months,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.09,SE,54,,,,,,,,,,,,,
405,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Lespedeza capitata,,0,,1,con,3 months,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.04,SE,54,,,,,,,,,,,,,
406,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Lespedeza capitata,,0,,0,,3 months,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.04,SE,54,,,,,,,,,,,,,
407,10.1890/ES15-00152.1,wild spores,field,"Inoculation: native, locally adapted prairie AMF inocula",,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Lespedeza capitata,,,2,1,con,15 months,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.06,SE,54,,,,,,,,,,,,,
408,10.1890/ES15-00152.1,ster,field,Control: uninoculated,,"41°49'51'' N, 87°36'17'' W",1,grassland,grassland,temperate,AM,both,,restoration,,area covered by turf grasses,Lespedeza capitata,,,2,0,,15 months,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.06,SE,54,,,,,,,,,,,,,
409,10.3390/su12124976,soil,greenhouse,Soil inoculum from adjacent degraded land,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,3,1,hetero,5 months,0.58,0.06,,,,,,SE,8,8.21,1.4,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,3,0,,5 months,0.42,0.07,,,,,,SE,8,7.12,0.5,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,10.3390/su12124976,soil,greenhouse,"Soil inoculum from church forest, under a Albizia gummifera tree",,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,4,1,hetero,5 months,1.5,0.19,,,,,,SE,8,17.97,2.1,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,4,0,,5 months,0.87,0.08,,,,,,SE,8,10.02,1,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,10.3390/su12124976,soil,greenhouse,"Soil inoculum from church forest, under a Croton macrostachyus tree",,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,5,1,hetero,5 months,1.36,0.08,,,,,,SE,8,19.63,1,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,5,0,,5 months,0.22,0.06,,,,,,SE,8,5.74,0.5,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,10.3390/su12124976,soil,greenhouse,"Soil inoculum from church forest, under a Juniperus procera tree",,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,6,1,hetero,5 months,1.55,0.09,,,,,,SE,8,17.79,1,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Olea europaea,,,6,0,,5 months,0.94,0.18,,,,,,SE,8,12.19,1.3,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,10.3390/su12124976,soil,greenhouse,Soil inoculum from adjacent degraded land,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,7,1,hetero,5 months,1.34,0.11,,,,,,SE,8,15.78,0.4,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,7,0,,5 months,0.91,0.09,,,,,,SE,8,12.28,0.3,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,10.3390/su12124976,soil,greenhouse,"Soil inoculum from church forest, under a Albizia gummifera tree",,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,8,1,con,5 months,2.27,0.12,,,,,,SE,8,22.87,0.3,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,8,0,,5 months,2.87,0.17,,,,,,SE,8,16.75,1.2,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,10.3390/su12124976,soil,greenhouse,"Soil inoculum from church forest, under a Croton macrostachyus tree",,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,9,1,hetero,5 months,2.8,0.14,,,,,,SE,8,21.83,0.9,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,9,0,,5 months,1.31,0.12,,,,,,SE,8,15,0.7,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,10.3390/su12124976,soil,greenhouse,"Soil inoculum from church forest, under a Juniperus procera tree",,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,11,1,hetero,5 months,1.92,0.11,,,,,,SE,8,16.76,0.8,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,10.3390/su12124976,ster,greenhouse,Control: sterilized soil,,"11°39'21'' N, 37°30'36'' E",1,forest,forest,tropical,AM,both,,,,,Albizia gummifera,,,11,0,,5 months,2.19,0.09,,,,,,SE,8,15.15,0.5,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. eriostachys,,,1,0,,16 weeks,3.54,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. eriostachys,,,1,1,hetero,16 weeks,12.36,1.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. eriostachys,,,1,1,hetero,16 weeks,12.96,1.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,C. eriostachys,,,1,1,con,16 weeks,12.76,1.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Amphypterigium adstringens,,,2,0,,16 weeks,1.98,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Amphypterigium adstringens,,,2,1,hetero,16 weeks,14.23,0.7,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
