"","study_id","SOILTYPE"
"213","10.1038/s41598-021-94092-w",NA
"214","10.3389/fpls.2021.693044",NA
"215","10.1007/s11356-021-15326-y","v-contaminated soil"
"216","10.1007/s00128-021-03329-x","as-polluted soils"
"217","10.1007/s00128-021-03329-x"," contaminated soil"
"218","10.3390/plants10071333",NA
"219","10.1007/s11356-021-15045-4","contaminated soil"
"220","10.1002/jsfa.11382","nutrient-poor soils"
"221","10.1002/jsfa.11382"," sandy soil"
"222","10.1007/s11356-021-14821-6","pb-contaminated soils"
"223","10.3390/plants10050950","sandy-loam clay-loam"
"224","10.3390/jof7050361",NA
"225","10.1016/j.scitotenv.2021.147944",NA
"226","10.1016/j.scitotenv.2021.147943","contaminated soils"
"227","10.1016/j.scitotenv.2021.147943"," contaminated field"
"228","10.13287/j.1001-9332.202105.022",NA
"229","10.1111/ppl.13454",NA
"230","10.1016/j.ecoenv.2021.112154","cd-contaminated soil"
"231","10.1007/s00572-021-01031-8","p-limited soil"
"232","10.3389/fmicb.2021.618169",NA
"233","10.1186/s12870-021-02949-z",NA
"234","10.1007/s11356-021-13755-3",NA
"235","10.3389/fpls.2021.614162",NA
"236","10.1016/j.ecoenv.2021.112170","soil pcb"
"237","10.1007/s00572-021-01028-3",NA
"238","10.13227/j.hjkx.202008154","sandy soils"
"239","10.13227/j.hjkx.202008154"," sandy soils"
"240","10.13227/j.hjkx.202008154"," sandy soil"
"241","10.1038/s41598-021-85497-8",NA
"242","10.1016/j.ecoenv.2021.112072","fish waste"
"243","10.1002/jeq2.20212","urban soils"
"244","10.1002/jeq2.20212"," periodically flooded soils"
"245","10.3389/fpls.2021.617892",NA
"246","10.1007/s00248-021-01710-1",NA
"247","10.1007/s00128-021-03113-x","metal-polluted soil"
"248","10.1007/s00128-021-03113-x"," zn-contaminated soil"
"249","10.1016/j.ecoenv.2021.111996","rees-contaminated soils"
"250","10.1016/j.envpol.2021.116499","slightly contaminated soil"
"251","10.1016/j.envpol.2021.116499"," contaminated sandy"
"252","10.1016/j.envpol.2021.116499"," contaminated soils"
"253","10.3389/fmicb.2020.586050","trace elements"
"254","10.3389/fmicb.2020.586050"," contaminated soil"
"255","10.1016/j.sjbs.2020.09.053",NA
"256","10.1007/s11356-020-12131-x","red soils"
"257","10.3390/plants9121801","al-supplemented soil"
"258","10.1111/jam.14951",NA
"259","10.3389/fpls.2020.516818",NA
"260","10.1016/j.envpol.2020.115980","polluted soil"
"261","10.1016/j.jhazmat.2020.124325","cd-contaminated soil"
"262","10.3390/microorganisms8111695",NA
"263","10.1007/s10646-020-02298-x",NA
"264","10.3390/ijms21217987",NA
"265","10.1007/s00572-020-00991-7","samarium-spiked soil"
"266","10.1007/s00572-020-00991-7"," metal-contaminated soils"
"267","10.1016/j.ecoenv.2020.111495","contaminated soils"
"268","10.1016/j.ecoenv.2020.111495"," compost application"
"269","10.1007/s11356-020-10636-z","a soil polluted polluted"
