"","study_id","RESPONSE"
"545","10.1016/j.scitotenv.2021.147943"," plant growth"
"546","10.1016/j.scitotenv.2021.147943"," the biomass"
"547","10.13287/j.1001-9332.202105.022","root biomasses"
"548","10.13287/j.1001-9332.202105.022"," the growth"
"549","10.13287/j.1001-9332.202105.022"," soybean aboveground biomass % root phosphorus"
"550","10.1111/ppl.13454","plant biomass"
"551","10.1111/ppl.13454"," biomass yield"
"552","10.1111/ppl.13454"," yield"
"553","10.1111/ppl.13454"," biomass yield seed"
"554","10.1016/j.ecoenv.2021.112154","l. chicory growth nutrients"
"555","10.1016/j.ecoenv.2021.112154"," root biomass"
"556","10.1016/j.ecoenv.2021.112154"," chicory growth"
"557","10.1016/j.ecoenv.2021.112154"," shoot biomass"
"558","10.1007/s00572-021-01031-8","n biomass"
"559","10.1007/s00572-021-01031-8"," plant growth"
"560","10.3389/fmicb.2021.618169","total fungal biomass"
"561","10.3389/fmicb.2021.618169"," fungal/bacterial biomass"
"562","10.1186/s12870-021-02949-z","plant biomass"
"563","10.1186/s12870-021-02949-z"," yield growth"
"564","10.1186/s12870-021-02949-z"," yield growth soybean"
"565","10.1186/s12870-021-02949-z"," plant growth"
"566","10.1186/s12870-021-02949-z"," growth"
"567","10.1186/s12870-021-02949-z"," yield grain"
"568","10.1186/s12870-021-02949-z"," the yield growth"
"569","10.1007/s11356-021-13755-3","yield"
"570","10.1007/s11356-021-13755-3"," biomass"
"571","10.1007/s11356-021-13755-3"," plant height"
"572","10.1007/s11356-021-13755-3"," growth"
"573","10.1007/s11356-021-13755-3"," tobacco growth"
"574","10.1007/s11356-021-13755-3"," dry weights"
"575","10.1007/s11356-021-13755-3"," number biomass"
"576","10.1007/s11356-021-13755-3"," oil yield"
"577","10.3389/fpls.2021.614162","biomass"
"578","10.3389/fpls.2021.614162"," growth the"
"579","10.3389/fpls.2021.614162"," vegetation remediation"
"580","10.3389/fpls.2021.614162"," plant growth"
"581","10.3389/fpls.2021.614162"," biomass allocated"
"582","10.3389/fpls.2021.614162"," growth the traits"
"583","10.1016/j.ecoenv.2021.112170","the ryegrass also biomass"
"584","10.1016/j.ecoenv.2021.112170"," the biomass acquisition"
"585","10.1016/j.ecoenv.2021.112170"," plant growth"
"586","10.1007/s00572-021-01028-3","ectomycorrhizal significant biomass length"
"587","10.13227/j.hjkx.202008154","root biomass"
"588","10.13227/j.hjkx.202008154"," plant growth"
"589","10.13227/j.hjkx.202008154"," biomass nutrient"
"590","10.13227/j.hjkx.202008154"," the biomass shoot element contents"
"591","10.1038/s41598-021-85497-8","root biomass"
"592","10.1016/j.ecoenv.2021.112072","onions biomass"
"593","10.1016/j.ecoenv.2021.112072"," biomass"
"594","10.1002/jeq2.20212","root biomass"
"595","10.3389/fpls.2021.617892","dry weight"
"596","10.3389/fpls.2021.617892"," roots growth"
"597","10.3389/fpls.2021.617892"," production biomass"
"598","10.3389/fpls.2021.617892"," yield"
"599","10.3389/fpls.2021.617892"," the biomass roots"
"600","10.3389/fpls.2021.617892"," growth metabolites"
"601","10.1007/s00248-021-01710-1","dry weight"
"602","10.1007/s00248-021-01710-1"," crop yield"
"603","10.1007/s00248-021-01710-1"," height increased compared"
"604","10.1007/s00248-021-01710-1"," plant growth"
"605","10.1007/s00248-021-01710-1"," plant height"
"606","10.1007/s00248-021-01710-1"," greater dry biomass"
"607","10.1007/s00248-021-01710-1"," height"
"608","10.1007/s00128-021-03113-x","7-fold"
"609","10.1007/s00128-021-03113-x"," the biomass"
"610","10.1007/s00128-021-03113-x"," increased biomass"
"611","10.1007/s00128-021-03113-x"," growth"
"612","10.1007/s00128-021-03113-x"," biomass more"
"613","10.1016/j.ecoenv.2021.111996","dry weight"
"614","10.1016/j.ecoenv.2021.111996"," plant growth"
"615","10.1016/j.ecoenv.2021.111996"," the growth"
"616","10.1016/j.ecoenv.2021.111996"," plant biomass"
"617","10.1016/j.envpol.2021.116499","aerial biomass"
"618","10.1016/j.envpol.2021.116499"," body weight"
"619","10.1016/j.envpol.2021.116499"," biomass"
"620","10.3389/fmicb.2020.586050","biomass"
"621","10.3389/fmicb.2020.586050"," growth"
"622","10.1016/j.sjbs.2020.09.053","more biomass"
"623","10.1016/j.sjbs.2020.09.053"," crop yields"
"624","10.1016/j.sjbs.2020.09.053"," the produced biomass i.e."
"625","10.1007/s11356-020-12131-x","the uptake biomass"
"626","10.3390/plants9121801","seed biomass"
"627","10.3390/plants9121801"," biomass"
"628","10.1111/jam.14951","plant growth"
"629","10.1111/jam.14951"," yield"
"630","10.1111/jam.14951"," biomass macronutrient micronutrient improvement"
"631","10.3389/fpls.2020.516818","plant growth"
"632","10.3389/fpls.2020.516818"," the biomass"
"633","10.1016/j.envpol.2020.115980","plant biomass"
"634","10.1016/j.envpol.2020.115980"," biomass photosynthetic"
"635","10.1016/j.jhazmat.2020.124325","rice reduced yield"
"636","10.1016/j.jhazmat.2020.124325"," plant growth"
"637","10.1016/j.jhazmat.2020.124325"," biomass length"
"638","10.3390/microorganisms8111695","growth functioning concentration"
"639","10.3390/microorganisms8111695"," plant growth"
"640","10.1007/s10646-020-02298-x","plant biomass"
"641","10.1007/s10646-020-02298-x"," the growth uptake"
"642","10.1007/s10646-020-02298-x"," plant growth"
"643","10.3390/ijms21217987","dry weight"
"644","10.3390/ijms21217987"," root growth"
"645","10.3390/ijms21217987"," the growth activity"
"646","10.3390/ijms21217987"," enhanced aboveground biomass weight"
"647","10.3390/ijms21217987"," plant growth"
"648","10.3390/ijms21217987"," growth"
"649","10.1007/s00572-020-00991-7","plant growth"
"650","10.1007/s00572-020-00991-7"," growth"
"651","10.1007/s00572-020-00991-7"," the biomass grown"
"652","10.1016/j.ecoenv.2020.111495","biomass"
"653","10.1016/j.ecoenv.2020.111495"," plant growth"
"654","10.1016/j.ecoenv.2020.111495"," the growth"
"655","10.1007/s11356-020-10636-z","the growth"
"656","10.1007/s11356-020-10636-z"," plant biomass"
"657","10.1371/journal.pone.0234099","dry biomass"
"658","10.1371/journal.pone.0234099"," host growth"
"659","10.1371/journal.pone.0234099"," growth"
"660","10.1371/journal.pone.0234099"," dry biomasses"
"661","10.3390/plants9080975","pea biomass more doubled genotypes"
"662","10.3390/plants9080975"," plant growth"
"663","10.3390/plants9080975"," growth"
"664","10.3390/plants9080975"," juncea biomass b."
"665","10.3390/plants9080975"," shoot biomass"
"666","10.1016/j.micres.2020.126556","plant biomass"
"667","10.1016/j.micres.2020.126556"," plant growth"
"668","10.1016/j.micres.2020.126556"," growth uptake"
"669","10.1016/j.ecoenv.2020.110988","plant growth"
"670","10.1016/j.ecoenv.2020.110988"," concentration biomasses"
"671","10.1016/j.jtemb.2020.126594","plant biomass"
"672","10.1016/j.jtemb.2020.126594"," plant growth"
"673","10.1016/j.jtemb.2020.126594"," the biomass"
"674","10.13227/j.hjkx.201906119","microbial biomass"
"675","10.3390/plants9070804","dry weight"
"676","10.3390/plants9070804"," biomass"
"677","10.3390/plants9070804"," plant growth"
"678","10.3390/plants9070804"," the residual biomass"
"679","10.1016/j.ecoenv.2020.110869","biomass"
"680","10.3390/jof6020087","the element growth potential"
"681","10.3390/jof6020087"," biomass"
"682","10.3390/jof6020087"," growth"
"683","10.3390/jof6020087"," aerial plant biomass"
"684","10.3390/jof6020087"," biomass higher"
"685","10.3390/microorganisms8060899","plant biomass"
"686","10.3390/microorganisms8060899"," essential oil yield"
"687","10.3390/microorganisms8060899"," biomass density concentration quantity"
"688","10.3390/microorganisms8060899"," oil yield"
"689","10.1007/s00572-020-00962-y","dry weight"
"690","10.1007/s00572-020-00962-y"," plant biomass"
"691","10.1007/s00572-020-00962-y"," tomato growth"
"692","10.1007/978-1-0716-0603-2_3","erm fresh biomass"
"693","10.1007/s00572-020-00957-9","growth yield grain"
"694","10.1007/s00572-020-00957-9"," growth yield tolerance"
"695","10.1007/s00572-020-00957-9"," root biomass"
"696","10.1007/s00572-020-00957-9"," growth yield"
"697","10.1007/s00572-020-00957-9"," yield rice"
"698","10.1007/s00572-020-00957-9"," yield grain"
"699","10.1007/s00572-020-00957-9"," crop growth yield"
"700","10.3390/microorganisms8040602","increased agricultural crop yields performance"
"701","10.3390/microorganisms8040602"," plant biomass"
"702","10.3390/microorganisms8040602"," growth"
"703","10.1186/s40529-020-00290-6","biomass"
"704","10.1186/s40529-020-00290-6"," plant growth"
"705","10.1186/s40529-020-00290-6"," growth"
"706","10.3390/jof6020044","plant biomass"
"707","10.3390/jof6020044"," biomass"
"708","10.1016/j.envpol.2020.114406","maize biomass uptake"
"709","10.1016/j.envpol.2020.114406"," maize biomass uptake increased"
"710","10.1016/j.ecoenv.2020.110485","shoot biomass"
"711","10.1016/j.ecoenv.2020.110485"," growth"
"712","10.3389/fpls.2020.00072","plant growth"
"713","10.3389/fpls.2020.00072"," grain yield"
"714","10.3389/fpls.2020.00072"," rhizosphere bacterial biomass biodiversity"
"715","10.3390/microorganisms8030364","the growth"
"716","10.3390/microorganisms8030364"," growth the"
"717","10.3390/microorganisms8030364"," nitrogen aboveground biomass"
"718","10.3390/microorganisms8030364"," growth tissue"
"719","10.3390/ijms21051748","plant growth"
"720","10.3390/microorganisms8030327","seedling biomass"
"721","10.3390/microorganisms8030327"," yield"
"722","10.1080/15226514.2020.1725867","growth maize"
"723","10.1080/15226514.2020.1725867"," plant growth"
"724","10.1080/15226514.2020.1725867"," the shoot biomass"
"725","10.1038/s41598-020-59447-9","the aboveground biomass"
"726","10.1038/s41598-020-59447-9"," biomass"
"727","10.1038/s41598-020-59447-9"," maize growth content"
"728","10.1038/s41598-020-59447-9"," the biomass"
"729","10.3390/microorganisms8020230","mean weight"
"730","10.3390/microorganisms8020230"," plant biomass"
"731","10.3390/microorganisms8020230"," plant growth"
"732","10.3390/microorganisms8020230"," the growth"
"733","10.1007/s11356-020-07886-2","ryegrass growth"
"734","10.1007/s11356-020-07886-2"," vegetation destruction"
"735","10.1007/s11356-020-07886-2"," the growth resistance"
"736","10.1007/s11356-020-07886-2"," ryegrass biomass"
"737","10.1007/s11356-020-07886-2"," plant height"
"738","10.1007/s00442-020-04598-9","growth"
"739","10.1007/s00442-020-04598-9"," community biomass"
"740","10.1007/s11356-020-07781-w","biomass phosphorus"
"741","10.1016/j.scitotenv.2019.136294","microbial biomass"
"742","10.1016/j.jenvman.2019.109982","growth maize health"
"743","10.1016/j.jenvman.2019.109982"," growth maize status"
"744","10.1016/j.jenvman.2019.109982"," ion biomass"
"745","10.1016/j.jhazmat.2019.121873","plant biomass"
"746","10.1016/j.jhazmat.2019.121873"," plant growth"
"747","10.1016/j.jhazmat.2019.121873"," growth ameliorated"
"748","10.1016/j.jhazmat.2019.121873"," biomass shoot %"
"749","10.1007/s11356-019-07300-6","plant biomass"
"750","10.1007/s11356-019-07300-6"," plant growth"
"751","10.1007/s00572-019-00927-w","biomass"
"752","10.1007/s00572-019-00927-w"," the growth"
"753","10.1007/s00572-019-00927-w"," growth tomato"
"754","10.1007/s00572-019-00927-w"," plant growth"
"755","10.1007/s00572-019-00927-w"," growth"
"756","10.3390/microorganisms7120651","plant biomass"
"757","10.3390/microorganisms7120651"," crop growth"
"758","10.3390/microorganisms7120651"," biomass shoot"
"759","10.3390/microorganisms7120651"," vegetative growth"
"760","10.3390/microorganisms7120651"," growth"
"761","10.3389/fmicb.2019.02634","the growth rate"
"762","10.3389/fmicb.2019.02634"," ratio biomass"
"763","10.3389/fmicb.2019.02591","the biomass"
"764","10.1007/s11356-019-06785-5","biomass yield"
"765","10.1007/s11356-019-06785-5"," the biomass"
"766","10.1007/s11356-019-06785-5"," the biomass yield"
"767","10.1007/s10661-019-7873-6","biomass biomass aboveground"
"768","10.1007/s10661-019-7873-6"," biomass"
"769","10.1007/s10661-019-7873-6"," the growth"
"770","10.1007/s10661-019-7873-6"," biomass momentous"
"771","10.1007/s10661-019-7873-6"," belowground biomass"
"772","10.1002/jsfa.10166","a growth higher"
"773","10.1002/jsfa.10166"," biomass fresh"
"774","10.1002/jsfa.10166"," biomass"
"775","10.1002/jsfa.10166"," growth the compounds"
"776","10.1002/jsfa.10166"," plant growth"
"777","10.1002/jsfa.10166"," growth"
"778","10.1016/j.ecoenv.2019.109783","shoot biomass"
"779","10.1016/j.ecoenv.2019.109783"," the tuber yields"
"780","10.1016/j.ecoenv.2019.109783"," tuber yield"
"781","10.1038/s41598-019-51369-5","plant biomass"
"782","10.1038/s41598-019-51369-5"," biomass"
"783","10.1038/s41598-019-50354-2","yields"
"784","10.1038/s41598-019-50354-2"," plant biomass"
"785","10.1038/s41598-019-50354-2"," rice yields"
"786","10.1038/s41598-019-50354-2"," plant growth"
"787","10.1038/s41598-019-50354-2"," growth"
"788","10.1016/j.chemosphere.2019.124710","plant biomass"
"789","10.1016/j.chemosphere.2019.124710"," plant growth"
"790","10.1016/j.chemosphere.2019.124710"," biomass shoot irrespective"
"791","10.1007/s00572-019-00914-1","plant biomass"
"792","10.1007/s00572-019-00914-1"," root biomasses"
"793","10.3390/microorganisms7090289","plant biomass"
"794","10.3390/microorganisms7090289"," biomass"
"795","10.3390/microorganisms7090289"," tolerance growth"
"796","10.3390/microorganisms7090289"," high biomass"
"797","10.1007/s42770-019-00125-y","dry biomass"
"798","10.3389/fpls.2019.00843","biomass"
"799","10.3389/fpls.2019.00843"," plant growth"
"800","10.3389/fpls.2019.00843"," yield"
"801","10.3389/fpls.2019.00843"," growth increased"
"802","10.1002/ecy.2855","plant biomass"
"803","10.1002/ecy.2855"," the growth"
"804","10.3389/fpls.2019.00895","plant biomass"
"805","10.3389/fpls.2019.00895"," plant growth"
"806","10.1016/j.ecoenv.2019.109476","microbial biomass"
"807","10.1016/j.jenvman.2019.06.130","plant biomass"
"808","10.1016/j.jenvman.2019.06.130"," plant growth"
"809","10.1016/j.jenvman.2019.06.130"," growth metal"
"810","10.1016/j.jenvman.2019.06.123","plant biomass"
"811","10.1016/j.jenvman.2019.06.123"," root-shoot biomass"
"812","10.1016/j.jenvman.2019.06.123"," plant growth"
"813","10.1016/j.ecoenv.2019.109383","dry weight"
"814","10.1016/j.ecoenv.2019.109383","     × biomass"
"815","10.1016/j.ecoenv.2019.109383"," plant growth"
"816","10.1016/j.ecoenv.2019.109383"," the growth content"
"817","10.1016/j.chemosphere.2019.06.160","the shoot biomass contents"
"818","10.1016/j.chemosphere.2019.06.160"," the biomass uptake"
"819","10.1016/j.chemosphere.2019.06.160"," the yield absorption"
"820","10.1016/j.chemosphere.2019.06.160"," growth"
"821","10.1016/j.jhazmat.2019.120813","plant growth"
"822","10.1371/journal.pone.0218969","yields"
"823","10.1371/journal.pone.0218969"," yield"
"824","10.1371/journal.pone.0218969"," the responses"
"825","10.1371/journal.pone.0218969"," yield nutrient"
"826","10.1371/journal.pone.0218969"," yield root fresh"
"827","10.1371/journal.pone.0218969"," root total biomass"
"828","10.1371/journal.pone.0218969"," yield the root fresh"
"829","10.1371/journal.pone.0218969"," yield cassava"
"830","10.1007/s00572-019-00900-7","biomass"
"831","10.1007/s00572-019-00900-7"," plant growth"
"832","10.1111/nph.15993","seedling biomass"
"833","10.1111/nph.15993"," growth"
"834","10.1007/s00572-019-00898-y","plant growth"
"835","10.1007/s00572-019-00898-y"," nutrition improving biomass"
"836","10.1016/j.envpol.2019.03.060","biomass"
"837","10.1007/s11356-019-05323-7","plant biomass"
"838","10.1007/s11356-019-05323-7"," plant growth"
"839","10.1007/s11356-019-05323-7"," plant biomass dry"
"840","10.3390/molecules24081603",NA
"841","10.1039/c8ra10442e","height biomass malondialdehyde activities"
"842","10.1039/c8ra10442e"," the height biomass"
"843","10.1039/c8ra10442e"," host plant growth"
"844","10.1039/c8ra10442e"," height whole-plant biomass"
"845","10.1007/s00572-019-00890-6","the biomass rate"
"846","10.1007/s00572-019-00890-6"," host plant growth"
"847","10.1007/s00572-019-00890-6"," the biomass"
"848","10.1016/j.chemosphere.2018.12.211","shoot biomass"
"849","10.1016/j.chemosphere.2018.12.211"," well-organized"
"850","10.34133/2019/5893953","biomass aboveground"
"851","10.34133/2019/5893953"," plant biomass"
"852","10.34133/2019/5893953"," biomass"
"853","10.34133/2019/5893953"," biomass the shoot"
"854","10.34133/2019/5893953"," mycorrhizal growth"
"855","10.34133/2019/5893953"," tomato growth"
"856","10.34133/2019/5893953"," biomass shoot"
"857","10.1007/s00572-019-00884-4","grain biomass yield"
"858","10.1007/s00572-019-00884-4"," biomass"
"859","10.1007/s00572-019-00884-4"," plant biomass"
"860","10.1371/journal.pone.0213672","n biomass"
"861","10.1371/journal.pone.0213672"," root biomass"
"862","10.1371/journal.pone.0213672"," belowground growth"
"863","10.3390/foods8030090","shoot biomass"
"864","10.3390/foods8030090"," biomass"
"865","10.3390/foods8030090"," foliar biomasses"
"866","10.3390/foods8030090"," eo yield"
"867","10.7717/peerj.6421","the biomass content"
"868","10.1007/s00572-019-00883-5","plant biomass"
"869","10.1007/s00572-019-00883-5"," biomass"
"870","10.3389/fpls.2018.01906","root biomass"
"871","10.3389/fpls.2018.01906"," vegetative growth"
"872","10.1007/s11356-019-04256-5","biomass"
"873","10.1007/s11356-019-04256-5"," plant growth"
"874","10.1111/1758-2229.12729","plant biomass"
"875","10.1111/1758-2229.12729"," plant growth"
"876","10.1111/1758-2229.12729"," contrasting temperatures community"
"877","10.1016/j.ecoenv.2018.12.097","biomass"
"878","10.1016/j.ecoenv.2018.12.097"," plant growth"
"879","10.1016/j.scitotenv.2018.11.317","growth uptake the nutrient"
"880","10.1016/j.scitotenv.2018.11.317"," plant growth"
"881","10.1016/j.scitotenv.2018.11.317"," biomass p ca mg contents"
"882","10.1016/j.scitotenv.2018.11.317"," the biomass contents"
"883","10.1002/ajb2.1206","growth"
"884","10.1002/ajb2.1206"," plant growth"
"885","10.1002/ajb2.1206"," mycorrhizal growth"
"886","10.1002/ajb2.1206"," more shoot biomass"
"887","10.3389/fpls.2018.01611","root biomass"
"888","10.3389/fpls.2018.01611"," dry weights"
"889","10.3389/fpls.2018.01611"," plant growth"
"890","10.3389/fpls.2018.01611"," fruit yield"
"891","10.3389/fpls.2018.01631","root biomass"
"892","10.3389/fpls.2018.01631"," dry mass"
"893","10.3389/fpls.2018.01631"," growth"
"894","10.3389/fpls.2018.01605","plant responses"
"895","10.3389/fpls.2018.01605"," biomass"
"896","10.1016/j.chemosphere.2018.11.085","plant biomass"
"897","10.13287/j.1001-9332.201809.034","maize growth absorption efficiency"
"898","10.13287/j.1001-9332.201809.034"," plant biomass"
"899","10.13287/j.1001-9332.201809.034"," maize growth"
"900","10.13287/j.1001-9332.201809.034"," efficiency content biomass"
"901","10.1016/j.ecoenv.2018.10.046","dry biomass"
"902","10.1016/j.ecoenv.2018.10.046"," hm the growth acquisition"
"903","10.1016/j.ecoenv.2018.10.046"," yield"
"904","10.1016/j.ecoenv.2018.10.046"," the average yield"
"905","10.19540/j.cnki.cjcmm.20180528.004","root biomass"
"906","10.19540/j.cnki.cjcmm.20180528.004"," biomass constituents"
"907","10.19540/j.cnki.cjcmm.20180528.004"," the growth"
"908","10.19540/j.cnki.cjcmm.20180528.004"," biomass biomass above-ground"
"909","10.1016/j.chemosphere.2018.09.143","biomass"
"910","10.1016/j.chemosphere.2018.09.143"," growth"
"911","10.1016/j.chemosphere.2018.08.147","plant biomass"
"912","10.1186/s12898-018-0197-5","aboveground biomass"
"913","10.1186/s12898-018-0197-5"," biomass more annual high"
"914","10.1186/s12898-018-0197-5"," growth"
"915","10.1007/s12088-018-0749-6","plant biomass"
"916","10.1007/s12088-018-0749-6"," plant growth"
"917","10.1007/s12088-018-0749-6"," the growth"
"918","10.1002/ecy.2502","biomass"
"919","10.1002/ecy.2502"," biomass amf"
"920","10.1002/ecy.2502"," biomass"
"921","10.1002/ecy.2502"," the growth"
"922","10.1002/ecy.2502"," plant growth"
"923","10.3390/plants7030063","mean weight"
"924","10.3390/plants7030063"," a algal dried biomass combinations"
"925","10.3390/plants7030063"," total yield grain"
"926","10.3390/plants7030063"," growth"
"927","10.3390/plants7030063"," corn yield grain"
"928","10.3390/plants7030063"," corn yield l."
"929","10.1016/j.plantsci.2018.05.015","concentration biomass expression"
"930","10.1016/j.plantsci.2018.05.015"," the biomass"
"931","10.1016/j.plantsci.2018.05.015"," improving yield"
"932","10.3389/fpls.2018.01046","total biomass"
"933","10.1007/s00572-018-0856-6","reproductive yield"
"934","10.1007/s00572-018-0856-6"," root biomass"
"935","10.1007/s00572-018-0856-6"," growth metabolism ion-homeostasis uptake"
"936","10.1007/s00572-018-0856-6"," plant growth"
"937","10.3390/ijms19082160","the biomass"
"938","10.3390/ijms19082160"," yield"
"939","10.3390/ijms19082160"," plant biomass"
"940","10.3390/ijms19082160"," biomass"
"941","10.3390/ijms19082160"," c soybean biomass"
"942","10.1007/s00572-018-0853-9","plant growth"
"943","10.1007/s00572-018-0853-9"," bulk biomass"
"944","10.13227/j.hjkx.201702041",":p concentrations increased ratios"
"945","10.13227/j.hjkx.201702041"," biomass uptake"
"946","10.13227/j.hjkx.201702041"," biomass concentrations"
"947","10.13227/j.hjkx.201702041"," growth"
"948","10.13227/j.hjkx.201702041"," dry weights"
"949","10.13227/j.hjkx.201702041"," :p ratios"
"950","10.1007/s00572-018-0844-x","andropogon gerardii plant biomass"
"951","10.1007/s00572-018-0844-x"," plant growth"
"952","10.1016/j.envpol.2018.06.003","biomass maize"
"953","10.1016/j.envpol.2018.06.003"," plant growth"
"954","10.1016/j.envpol.2018.06.003"," the biomass uptake uptake translocation"
"955","10.1080/15226514.2018.1438358","dry weight"
"956","10.1080/15226514.2018.1438358"," growth maize"
"957","10.1080/15226514.2018.1438358"," biomass the"
"958","10.1080/15226514.2018.1438358"," plant growth"
"959","10.1080/15226514.2018.1438358"," maize biomass contents"
"960","10.1007/s00572-018-0839-7","published"
"961","10.1007/s00572-018-0839-7"," biomass"
"962","10.3389/fpls.2018.00607","biomass"
"963","10.3389/fpls.2018.00607"," dry mass"
"964","10.1186/s12284-018-0226-1","seedling biomass"
"965","10.1186/s12284-018-0226-1"," the growth"
"966","10.1186/s12284-018-0226-1"," rice growth"
"967","10.1093/femsec/fiy092","plant biomass"
"968","10.1093/femsec/fiy092"," plant growth"
"969","10.1093/femsec/fiy092"," autochthonous shrubs growth"
"970","10.1016/j.envpol.2018.04.138","plant biomass"
"971","10.1016/j.envpol.2018.04.138"," biomass"
"972","10.1016/j.ecoenv.2018.03.073","plant biomass"
"973","10.7717/peerj.4425","the growth"
"974","10.7717/peerj.4425"," the concentrations biomass"
"975","10.1007/s00572-018-0826-z","plant biomass"
"976","10.1007/s00572-018-0826-z"," ryegrass biomass shoot"
"977","10.1007/s00572-018-0826-z"," growth"
"978","10.1007/s11356-018-1533-1","cu the biomass phytotoxicity"
"979","10.3389/fpls.2018.00093","shoot biomass"
"980","10.3389/fpls.2018.00093"," biomass"
"981","10.3389/fpls.2018.00093"," dry mass"
"982","10.3389/fpls.2018.00093"," root growth"
"983","10.1016/j.scitotenv.2018.01.331","the concentrations biomasses acquisitions"
"984","10.1016/j.scitotenv.2018.01.331"," the growth responses"
"985","10.1016/j.scitotenv.2018.01.331"," concentrations the biomasses acquisitions"
"986","10.1590/0001-3765201820160189","yield aboveground biomass uptake"
"987","10.1590/0001-3765201820160189"," yield biomass grain"
"988","10.1590/0001-3765201820160189"," growth cowpea yield"
"989","10.1590/0001-3765201820160189"," biomass"
"990","10.1590/0001-3765201820160189"," plant growth"
"991","10.1590/0001-3765201820160189"," growth nutrition yield"
"992","10.1590/0001-3765201820160189"," cowpea yield"
"993","10.1139/cjm-2017-0521","plant growth"
"994","10.1139/cjm-2017-0521"," the biomass"
"995","10.3389/fpls.2017.02236","biomass yield"
"996","10.3389/fpls.2017.02236"," biomass yield tolerance"
"997","10.3389/fpls.2017.02236"," growth"
"998","10.1007/s00572-018-0823-2","shoot biomass"
"999","10.1007/s00572-018-0823-2"," plant height"
"1000","10.1007/s00572-018-0823-2"," root growth"
"1001","10.1007/s00572-018-0819-y","the fungus increased biomass yield"
"1002","10.1007/s00572-018-0819-y"," plant biomass"
"1003","10.1007/s00572-018-0819-y"," increased biomass yield"
"1004","10.1007/s00572-018-0819-y"," plant growth"
"1005","10.1007/s00572-018-0819-y"," biomass yield"
"1006","10.7717/peerj.4183","plant growth"
"1007","10.7717/peerj.4183"," the aboveground biomass"
"1008","10.7717/peerj.4183"," belowground biomass"
"1009","10.1186/s13104-017-3105-8","dry biomass"
"1010","10.1016/j.chemosphere.2017.12.025","greater biomass"
"1011","10.1016/j.chemosphere.2017.12.025"," growth maize"
"1012","10.1016/j.chemosphere.2017.12.025"," plant growth"
"1013","10.1016/j.chemosphere.2017.12.025"," growth no. activities"
"1014","10.3934/microbiol.2017.4.938","microbial biomass"
"1015","10.1016/j.scitotenv.2017.11.188","plant growth"
"1016","10.1016/j.scitotenv.2017.11.188"," growth"
"1017","10.1016/j.scitotenv.2017.11.188"," plant biomass"
"1018","10.1007/s00572-017-0809-5","shoot growth"
"1019","10.1007/s00572-017-0809-5"," root biomass"
"1020","10.1007/s00572-017-0809-5"," the growth root architecture"
"1021","10.1007/s00425-017-2808-3","biomass"
"1022","10.1007/s00425-017-2808-3"," growth"
"1023","10.1007/s00425-017-2808-3"," high-yield biomass"
"1024","10.1016/j.scitotenv.2017.09.066","shoot biomass"
"1025","10.1016/j.bjm.2017.04.005","dry weight"
"1026","10.1016/j.bjm.2017.04.005"," plant growth"
"1027","10.1016/j.bjm.2017.04.005"," dry weights"
"1028","10.1016/j.bjm.2017.04.005"," growth status metabolism"
"1029","10.1016/j.ecoenv.2017.06.059",NA
"1030","10.1016/j.jenvman.2017.06.036","wheat plant growth"
"1031","10.1016/j.jenvman.2017.06.036"," the aboveground biomass"
"1032","10.1007/s11356-017-9463-x","higher biomass"
"1033","10.1007/s11356-017-9463-x"," yield"
"1034","10.1007/s11356-017-9463-x"," adversely affecting growth"
"1035","10.1007/s11356-017-9463-x"," root biomass"
"1036","10.1007/s11356-017-9463-x"," productivity biomass"
"1037","10.1007/s11356-017-9463-x"," growth productivity"
"1038","10.1007/s11356-017-9463-x"," growth"
"1039","10.1007/s11356-017-9463-x"," shoot biomass"
"1040","10.3389/fpls.2017.00931","root biomass"
"1041","10.3389/fpls.2017.00931"," 4.4-folds"
"1042","10.3389/fpls.2017.00931"," plant growth"
"1043","10.3389/fpls.2017.00931"," growth the contents"
"1044","10.1039/c7mt00072c",NA
"1045","10.1007/s00572-017-0778-8","plant biomass"
"1046","10.1007/s00572-017-0778-8"," biomass"
"1047","10.1007/s00248-017-0999-6","dry biomass"
"1048","10.1007/s00248-017-0999-6"," the growth"
"1049","10.1080/15226514.2017.1284751","plant biomass"
"1050","10.1080/15226514.2017.1284751"," biomass"
"1051","10.1080/15226514.2017.1284751"," plant growth"
"1052","10.1016/j.scitotenv.2017.05.047","root biomass"
"1053","10.1016/j.scitotenv.2017.05.047"," the added grain yield grown"
"1054","10.1016/j.scitotenv.2017.05.047"," growth"
"1055","10.1016/j.scitotenv.2017.05.047"," rice growth"
"1056","10.3389/fpls.2017.00684","plant biomass"
"1057","10.3389/fpls.2017.00684"," biomass"
"1058","10.1007/s00572-017-0775-y","biomass"
"1059","10.3389/fpls.2017.00517","photosynthesis height"
"1060","10.3389/fpls.2017.00517"," plant biomass"
"1061","10.3389/fpls.2017.00517"," plant growth"
"1062","10.1016/j.envpol.2017.03.058","crop growth development"
"1063","10.1016/j.envpol.2017.03.058"," crop yields"
"1064","10.1016/j.envpol.2017.03.058"," biomass"
"1065","10.1016/j.envpol.2017.03.058"," growth"
"1066","10.1016/j.envpol.2017.03.058"," growth increased capacity"
"1067","10.1007/s00572-017-0768-x","biomass"
"1068","10.1007/s00572-017-0768-x"," the biomass highest"
