DOI,PMID
10.1007/s11356-019-06785-5,31776909
10.1007/s10661-019-7873-6,31773282
10.1002/jsfa.10166,31769028
10.1016/j.ecoenv.2019.109783,31629192
10.1038/s41598-019-51369-5,31619728
10.1038/s41598-019-50354-2,31575889
10.1016/j.chemosphere.2019.124710,31545216
10.1007/s00572-019-00914-1,31506745
10.3390/microorganisms7090289,31450847
10.1007/s42770-019-00125-y,31396863
10.3389/fpls.2019.00843,31396243
10.1002/ecy.2855,31359432
10.3389/fpls.2019.00895,31354767
10.1016/j.ecoenv.2019.109476,31352211
10.1016/j.jenvman.2019.06.130,31299554
10.1016/j.jenvman.2019.06.123,31279144
10.1016/j.ecoenv.2019.109383,31260919
10.1016/j.chemosphere.2019.06.160,31255763
10.1016/j.jhazmat.2019.120813,31254792
10.1371/journal.pone.0218969,31242274
10.1007/s00572-019-00900-7,31218402
10.1111/nph.15993,31209891
10.1007/s00572-019-00898-y,31203456
10.1016/j.envpol.2019.03.060,31146309
10.1007/s11356-019-05323-7,31104234
10.3390/molecules24081603,31018578
10.1039/c8ra10442e,35515284
10.1007/s00572-019-00890-6,30953171
10.1016/j.chemosphere.2018.12.211,33395812
10.34133/2019/5893953,33313531
10.1007/s00572-019-00884-4,30868248
10.1371/journal.pone.0213672,30856237
10.3390/foods8030090,30841518
10.7717/peerj.6421,30805248
10.1007/s00572-019-00883-5,30788565
10.3389/fpls.2018.01906,30740120
10.1007/s11356-019-04256-5,30680683
10.1111/1758-2229.12729,30618212
10.1016/j.ecoenv.2018.12.097,30616152
10.1016/j.scitotenv.2018.11.317,30577108
10.1002/ajb2.1206,30552673
10.3389/fpls.2018.01611,30505312
10.3389/fpls.2018.01631,30483288
10.3389/fpls.2018.01605,30459793
10.1016/j.chemosphere.2018.11.085,30448757
10.13287/j.1001-9332.201809.034,30411567
10.1016/j.ecoenv.2018.10.046,30366271
10.19540/j.cnki.cjcmm.20180528.004,30347912
10.1016/j.chemosphere.2018.09.143,30316153
10.1016/j.chemosphere.2018.08.147,30286537
10.1186/s12898-018-0197-5,30285730
10.1007/s12088-018-0749-6,30262959
10.1002/ecy.2502,30218450
10.3390/plants7030063,30096837
10.1016/j.plantsci.2018.05.015,30080600
10.3389/fpls.2018.01046,30073011
10.1007/s00572-018-0856-6,30043257
10.3390/ijms19082160,30042347
10.1007/s00572-018-0853-9,30006910
10.13227/j.hjkx.201702041,29965275
10.1007/s00572-018-0844-x,29931404
10.1016/j.envpol.2018.06.003,29886381
10.1080/15226514.2018.1438358,29873545
10.1007/s00572-018-0839-7,29869188
10.3389/fpls.2018.00607,29868065
10.1186/s12284-018-0226-1,29799607
10.1093/femsec/fiy092,29771325
10.1016/j.envpol.2018.04.138,29758530
10.1016/j.ecoenv.2018.03.073,29625397
10.7717/peerj.4425,29527410
10.1007/s00572-018-0826-z,29502186
10.1007/s11356-018-1533-1,29468396
10.3389/fpls.2018.00093,29449861
10.1016/j.scitotenv.2018.01.331,29438937
10.1590/0001-3765201820160189,29424389
10.1139/cjm-2017-0521,29390194
10.3389/fpls.2017.02236,29375607
10.1007/s00572-018-0823-2,29372408
10.1007/s00572-018-0819-y,29359253
10.7717/peerj.4183,29340232
10.1186/s13104-017-3105-8,29291742
10.1016/j.chemosphere.2017.12.025,29241123
10.3934/microbiol.2017.4.938,31294199
10.1016/j.scitotenv.2017.11.188,29175619
10.1007/s00572-017-0809-5,29167981
10.1007/s00425-017-2808-3,29124326
10.1016/j.scitotenv.2017.09.066,28918276
10.1016/j.bjm.2017.04.005,28887008
10.1016/j.ecoenv.2017.06.059,28666217
10.1016/j.jenvman.2017.06.036,28651221
10.1007/s11356-017-9463-x,28646312
10.3389/fpls.2017.00931,28638391
10.1039/c7mt00072c,28613326
10.1007/s00572-017-0778-8,28593465
10.1007/s00248-017-0999-6,28560606
10.1080/15226514.2017.1284751,28537795
10.1016/j.scitotenv.2017.05.047,28531965
10.3389/fpls.2017.00684,28503185
10.1007/s00572-017-0775-y,28488060
10.3389/fpls.2017.00517,28443111
10.1016/j.envpol.2017.03.058,28365513
10.1007/s00572-017-0768-x,28317065
10.1002/ecy.1793,28263365
10.1007/s11356-017-8649-6,28258426
10.1139/cjm-2016-0597,28177791
10.2134/jeq2016.04.0125,28177408
10.1016/j.plaphy.2017.01.001,28107731
10.1002/jsfa.8201,28071807
10.1016/j.scitotenv.2016.12.031,28034543
10.3389/fpls.2016.01901,28018420
10.1371/journal.pone.0167014,27907023
10.1016/j.bjm.2016.10.012,27889421
10.1007/s00442-016-3771-6,27848080
10.1080/15226514.2016.1244157,27739900
10.1016/j.chemosphere.2016.09.145,27721131
10.1002/ece3.2456,30128117
10.3389/fmicb.2016.01246,27563299
10.13277/j.hjkx.2016.08.049,29964752
10.1080/15226514.2016.1207596,27491701
10.3389/fmicb.2016.01030,27446063
10.1080/15226514.2016.1207602,27408989
10.1016/j.ecoenv.2016.06.012,27400063
10.1186/s12862-016-0698-9,27287440
10.1007/s00572-016-0712-5,27260187
10.1007/s11356-016-6941-5,27250093
10.1007/s00248-016-0779-8,27245598
10.15517/rbt.v64i2.20289,29451968
10.1016/j.crvi.2016.04.009,27180108
10.1007/s00572-016-0699-y,27113586
10.1021/acs.jafc.6b00408,27096876
10.1371/journal.pone.0153378,27064570
10.1093/aobpla/plw018,26984185
10.1007/s11356-016-6337-6,26931658
10.1371/journal.pone.0150181,26928913
10.1038/srep21805,26892768
10.1007/s00572-016-0687-2,26883142
10.1038/srep20469,26842958
10.1093/jxb/erv561,26802172
10.1016/j.jplph.2015.11.007,26796423
10.3923/pjbs.2016.158.170,29022992
10.1371/journal.pone.0145793,26709921
10.1371/journal.pone.0145726,26698576
10.1080/15226514.2015.1131232,26696008
10.1007/s11356-015-5914-4,26676544
10.1007/s00572-015-0670-3,26590998
10.1007/s00572-015-0666-z,26499883
10.3389/fpls.2015.00815,26483827
10.1007/s00572-015-0659-y,26260945
10.1007/s11356-015-5094-2,26250813
10.1111/pce.12600,26147222
10.1371/journal.pone.0128841,26102587
10.1016/j.chemosphere.2015.04.023,25935603
10.3390/jof1010055,29376899
10.1007/s00572-015-0638-3,25860835
10.3389/fmicb.2015.00203,25852664
10.1080/15226514.2014.989311,25763643
10.1007/s11356-014-3837-0,25716900
10.1016/j.scitotenv.2015.01.085,25659304
10.1038/srep08122,25631933
10.1016/j.ecoenv.2014.12.033,25553418
10.3389/fmicb.2014.00682,25538696
10.1080/15226514.2014.950408,25495941
10.1016/j.jplph.2014.08.019,25462971
10.1016/j.ecoenv.2014.09.019,25450919
10.1007/s00572-014-0613-4,25366130
10.1007/s10646-014-1368-6,25326862
10.5423/PPJ.OA.10.2012.0156,25288951
10.1016/j.jes.2014.07.013,25288547
10.1007/s00442-014-3091-7,25255855
10.1007/s10646-014-1331-6,25190357
10.1007/s00572-014-0600-9,25155616
10.1007/s11356-014-3396-4,25091168
10.1007/s00572-014-0596-1,25085217
10.1371/journal.pone.0101487,24999738
10.1016/j.scitotenv.2014.06.045,24992459
10.1080/15226514.2013.856852,24933888
10.1890/13-0025.1,24933822
10.1111/nph.12876,24902781
10.1007/s11356-014-2938-0,24809492
10.1007/s00284-014-0589-5,24801335
10.1007/s00572-014-0582-7,24770494
10.1038/srep04671,24728157
10.1371/journal.pone.0093967,24709748
10.1371/journal.pone.0090738,24595111
10.1016/j.jplph.2013.10.023,24594394
10.1007/s11356-014-2696-z,24584643
10.1007/s10646-014-1200-3,24482052
10.1007/s00572-014-0555-x,24424508
10.3732/ajb.1300262,24388962
10.1890/13-1821.1,29210242
10.1590/s1517-83822014000400007,25763020
10.1038/ismej.2013.224,24351937
10.1016/j.jplph.2013.10.011,24331432
10.1890/12-1943.1,24279273
10.3389/fpls.2013.00338,24046771
10.1016/j.chemosphere.2013.07.089,24011894
10.1371/journal.pone.0070633,23950975
10.1093/aob/mct177,23946322
10.1016/j.jenvrad.2013.07.001,23933082
10.1016/j.chemosphere.2013.04.093,23755987
10.1016/s1001-0742(12)60060-6,23596958
10.1111/nph.12273,23594373
10.1007/s00572-013-0494-y,23568184
10.1093/aob/mct062,23532045
10.1080/09593330.2012.689369,23530334
10.1080/15226514.2012.716099,23488172
10.1093/aob/mct035,23456689
10.1111/pce.12082,23421735
10.1890/11-1715.1,23185888
10.1371/journal.pone.0048669,23139811
10.1007/s00572-012-0460-0,23001334
10.1016/j.jhazmat.2012.08.020,22940287
10.1016/j.jenvrad.2012.08.004,22939950
10.1080/15226514.2011.619230,22908633
10.1039/c2em30333g,22864990
10.1007/s11274-011-0823-2,22806808
10.1016/j.jhazmat.2012.05.091,22704769
10.1007/s00572-012-0448-9,22692547
10.1016/j.jhazmat.2012.05.044,22673057
10.1007/s00572-012-0447-x,22648372
10.1007/s00572-012-0446-y,22644394
10.1890/11-1247.1,22611852
10.1016/j.envpol.2012.04.026,22609863
10.1111/j.1438-8677.2012.00581.x,22512871
10.1007/s11270-011-0915-5,22389535
10.1139/w11-140,22356605
10.1016/j.scitotenv.2011.10.053,22115613
10.1080/15226514.2011.568546,22046763
10.1890/10-1915.1,21797158
10.1590/S1517-83822011000300004,24031701
10.1007/s00572-011-0391-1,21626142
10.1186/1471-2229-11-98,21624119
10.1080/15226510903535056,21598780
10.1080/15226510903353104,21598775
10.1080/15226511003671353,21598768
10.1016/j.scitotenv.2011.04.029,21561643
10.1016/j.ejsobi.2011.03.001,26109837
10.1007/s00572-011-0379-x,21484339
10.1007/s00572-011-0370-6,21472449
10.1007/s00572-011-0372-4,21424805
10.1016/j.jenvman.2011.02.015,21420227
10.1016/j.jplph.2010.12.019,21377754
10.1007/s12011-011-8973-5,21271295
10.1007/s00122-010-1501-8,21222096
10.1007/s00572-010-0360-0,21221660
10.1139/w10-096,21217793
10.1016/j.scitotenv.2010.12.019,21211827
10.1016/j.scitotenv.2010.11.020,21211826
10.1016/j.envpol.2010.11.035,21183262
10.1016/j.phytochem.2010.11.008,21145086
10.1007/s00572-010-0343-1,21107870
10.1016/j.envpol.2010.09.032,20965630
10.1007/s00572-010-0340-4,20922434
10.1016/j.jhazmat.2010.09.004,20870354
10.1093/aob/mcq170,20810743
10.1080/15226510903051740,20734915
10.1016/j.scitotenv.2010.07.064,20716461
10.1016/j.jenvman.2010.07.008,20705386
10.1007/s00253-010-2791-0,20683717
10.1016/j.jhazmat.2010.05.042,20541316
10.1016/j.plaphy.2010.04.002,20447830
10.1007/s00572-010-0311-9,20393756
10.1100/tsw.2010.59,20364236
10.1111/j.1469-8137.2009.03162.x,20356347
10.1002/jsfa.3871,20355101
10.1073/pnas.0906710107,20133855
10.1007/s00572-009-0296-4,20077122
10.1007/s00572-009-0294-6,20049617
10.1007/s00248-009-9618-5,20013261
10.1080/15226510902787310,19810598
10.1007/s00572-009-0279-5,19789897
10.1016/j.chemosphere.2009.08.050,19775720
10.1139/w09-031,19767861
10.1016/j.biortech.2009.07.010,19648001
10.1890/07-2080.1,19537557
10.1016/j.chemosphere.2009.05.025,19524998
10.1016/j.scitotenv.2009.05.021,19515400
10.1007/s00248-009-9544-6,19495853
10.1093/treephys/tpp038,19483186
10.1890/08-0419.1,19449699
10.1007/s00572-009-0241-6,19343374
10.1007/s00442-009-1312-2,19271240
10.1016/j.chemosphere.2009.02.008,19268339
10.1016/j.chemosphere.2009.01.046,19232430
10.1007/s00248-009-9489-9,19224270
10.1007/s00442-009-1294-0,19219458
10.1016/j.envpol.2008.12.030,19211178
10.1080/15226510802378483,28134000
10.1007/s00572-009-0230-9,19169716
10.1016/j.envpol.2008.12.022,19168268
10.1007/s00572-009-0228-3,19153778
10.1007/s00442-008-1192-x,18975009
10.1890/07-1394.1,18959324
10.1139/w08-081,18923557
10.1007/s00572-008-0203-4,18818956
10.1016/s1001-0742(08)62121-x,18763570
10.1111/j.1574-6968.2008.01318.x,18754788
10.1016/j.ecoenv.2008.01.027,18602693
10.1007/s00572-008-0178-1,18536940
10.1016/j.chemosphere.2008.03.040,18499218
10.3852/mycologia.100.1.6,18488348
10.1890/07-0823.1,18481528
10.1016/j.scitotenv.2008.02.003,18313725
10.1016/j.envpol.2008.01.003,18280625
10.1055/s-2007-964963,18211551
10.1016/j.biortech.2007.11.059,18178433
10.1016/s1001-0742(07)60203-4,18062425
10.1016/j.jenvrad.2007.10.007,18061321
10.1016/j.envpol.2007.10.023,18060670
10.1111/j.1365-2672.2007.03296.x,17714402
10.1016/j.wasman.2007.05.008,17624755
10.1016/j.envpol.2007.04.005,17560700
10.1016/j.envpol.2007.04.002,17555852
