"","study_id","ECOREGION"
"353","10.3389/fpls.2017.00517",NA
"354","10.1016/j.envpol.2017.03.058",NA
"355","10.1007/s00572-017-0768-x",NA
"356","10.1002/ecy.1793","tropical soils"
"357","10.1002/ecy.1793"," tropical montane"
"358","10.1002/ecy.1793"," tropical pre-montane"
"359","10.1002/ecy.1793"," tropical plants"
"360","10.1007/s11356-017-8649-6",NA
"361","10.1139/cjm-2016-0597",NA
"362","10.2134/jeq2016.04.0125",NA
"363","10.1016/j.plaphy.2017.01.001",NA
"364","10.1002/jsfa.8201","mediterranean regions"
"365","10.1016/j.scitotenv.2016.12.031",NA
"366","10.3389/fpls.2016.01901",NA
"367","10.1371/journal.pone.0167014",NA
"368","10.1016/j.bjm.2016.10.012",NA
"369","10.1007/s00442-016-3771-6",NA
"370","10.1080/15226514.2016.1244157",NA
"371","10.1016/j.chemosphere.2016.09.145",NA
"372","10.1002/ece3.2456",NA
"373","10.3389/fmicb.2016.01246",NA
"374","10.13277/j.hjkx.2016.08.049","terrestrial ecosystems"
"375","10.13277/j.hjkx.2016.08.049"," terrestrial environments"
"376","10.1080/15226514.2016.1207596",NA
"377","10.3389/fmicb.2016.01030",NA
"378","10.1080/15226514.2016.1207602",NA
"379","10.1016/j.ecoenv.2016.06.012",NA
"380","10.1186/s12862-016-0698-9",NA
"381","10.1007/s00572-016-0712-5",NA
"382","10.1007/s11356-016-6941-5",NA
"383","10.1007/s00248-016-0779-8",NA
"384","10.15517/rbt.v64i2.20289","semi-arid ecosystems"
"385","10.15517/rbt.v64i2.20289"," semi-arid"
"386","10.15517/rbt.v64i2.20289"," semi-arid locality"
"387","10.1016/j.crvi.2016.04.009",NA
"388",NA,NA
"389","10.1007/s00572-016-0699-y",NA
"390","10.1021/acs.jafc.6b00408",NA
"391",NA,NA
"392","10.1371/journal.pone.0153378",NA
"393","10.1093/aobpla/plw018","terrestrial plant"
"394","10.1007/s11356-016-6337-6",NA
"395","10.1371/journal.pone.0150181",NA
"396","10.1038/srep21805",NA
"397","10.1007/s00572-016-0687-2","mediterranean shrub"
"398","10.1038/srep20469",NA
"399","10.1093/jxb/erv561",NA
"400","10.1016/j.jplph.2015.11.007","semiarid ecosystems"
"401","10.3923/pjbs.2016.158.170",NA
"402","10.1371/journal.pone.0145793",NA
"403","10.1371/journal.pone.0145726",NA
"404","10.1080/15226514.2015.1131232",NA
"405","10.1007/s11356-015-5914-4",NA
"406",NA,NA
"407","10.1007/s00572-015-0670-3",NA
"408","10.1007/s00572-015-0666-z",NA
"409","10.3389/fpls.2015.00815","mediterranean area"
"410","10.1007/s00572-015-0659-y","tropical tree"
"411","10.1007/s11356-015-5094-2",NA
"412",NA,NA
"413","10.1111/pce.12600",NA
"414","10.1371/journal.pone.0128841",NA
"415","10.1016/j.chemosphere.2015.04.023",NA
"416","10.3390/jof1010055",NA
"417","10.1007/s00572-015-0638-3",NA
"418","10.3389/fmicb.2015.00203",NA
"419","10.1080/15226514.2014.989311",NA
"420","10.1007/s11356-014-3837-0",NA
"421","10.1016/j.scitotenv.2015.01.085",NA
"422","10.1038/srep08122",NA
"423","10.1016/j.ecoenv.2014.12.033",NA
"424","10.3389/fmicb.2014.00682",NA
"425","10.1080/15226514.2014.950408",NA
"426","10.1016/j.jplph.2014.08.019",NA
"427","10.1016/j.ecoenv.2014.09.019",NA
"428","10.1007/s00572-014-0613-4",NA
"429",NA,NA
"430",NA,"terrestrial ecosystems"
"431","10.1007/s10646-014-1368-6",NA
"432","10.5423/PPJ.OA.10.2012.0156",NA
"433","10.1016/j.jes.2014.07.013",NA
"434","10.1007/s00442-014-3091-7",NA
"435","10.1007/s10646-014-1331-6",NA
"436","10.1007/s00572-014-0600-9",NA
"437","10.1007/s11356-014-3396-4",NA
"438","10.1007/s00572-014-0596-1","semi-arid"
"439","10.1371/journal.pone.0101487",NA
"440","10.1016/j.scitotenv.2014.06.045",NA
"441","10.1080/15226514.2013.856852",NA
