"","study_id","ECOREGION"
"627","10.1016/j.chemosphere.2004.10.009",NA
"628","10.1007/s00248-003-0131-y","semiarid"
"629","10.1007/s00248-003-0131-y"," mediterranean area"
"630","10.1007/s00442-004-1777-y",NA
"631","10.1007/s00572-004-0321-6",NA
"632","10.1016/j.envpol.2004.02.015",NA
"633","10.1007/s00572-004-0312-7",NA
"634","10.1128/AEM.70.5.2692-2701.2004","arable"
"635","10.1016/S0960-8524(03)00198-6",NA
"636","10.1046/j.1469-8137.2003.00938.x",NA
"637","10.1007/s00572-003-0289-7",NA
"638","10.2134/jeq2003.2001",NA
"639","10.1139/w03-073",NA
"640","10.1007/s00572-003-0281-2",NA
"641","10.1007/s00572-003-0224-y","arboreal ecosystems"
"642","10.1007/s00572-003-0224-y"," tropical"
"643","10.1007/s00572-003-0274-1",NA
"644","10.1007/s00572-003-0265-2","semiarid areas"
"645","10.1007/s00572-002-0213-6","south"
"646","10.1016/s0269-7491(03)00195-7",NA
"647","10.1046/j.1469-8137.2003.00688.x",NA
"648","10.1007/s00267-002-2879-0",NA
"649","10.1093/treephys/23.3.157",NA
"650","10.1016/s0045-6535(02)00323-5",NA
"651","10.1007/s00442-002-1022-5",NA
"652","10.1007/s00572-001-0147-4",NA
"653","10.1093/jexbot/53.371.1207",NA
"654","10.1093/jexbot/53.371.1177",NA
"655","10.1007/s00572-001-0140-y",NA
"656","10.3732/ajb.89.2.337",NA
"657","10.1046/j.0028-646X.2001.00265.x",NA
"658","10.1078/0944-5013-00095",NA
"659","10.1007/s005720100122",NA
"660","10.1093/jexbot/51.347.1117",NA
"661","10.1046/j.1469-8137.1999.00471.x",NA
"662","10.1007/s004420050685",NA
"663",NA,NA
"664","10.1007/s005720050190",NA
"665","10.1046/j.1469-8137.1997.00786.x","mediterranean ecosystem"
"666","10.1046/j.1469-8137.1997.00786.x"," desertified semi-arid"
"667",NA,NA
"668",NA,NA
"669","10.1016/0269-7491(95)00081-x",NA
"670","10.1016/0269-7491(95)93444-5",NA
"671","10.1016/0269-7491(94)90188-0",NA
"672","10.1104/pp.101.3.1063",NA
"673","10.1007/BF00317489",NA
"674","10.1007/BF01225356","tropical forestry"
"675","10.1111/j.1469-8137.1990.tb00376.x",NA
"676",NA,NA
