"","study_id","LOCATION"
"204","10.1038/s41598-021-85497-8",NA
"205","10.1016/j.ecoenv.2021.112072",NA
"206","10.1002/jeq2.20212","buenos aires"
"207","10.1002/jeq2.20212"," matanza-riachuelo river basin"
"208","10.1002/jeq2.20212"," argentina"
"209","10.3389/fpls.2021.617892",NA
"210","10.1007/s00248-021-01710-1",NA
"211","10.1007/s00128-021-03113-x",NA
"212","10.1016/j.ecoenv.2021.111996",NA
"213","10.1016/j.envpol.2021.116499",NA
"214","10.3389/fmicb.2020.586050",NA
"215","10.1016/j.sjbs.2020.09.053",NA
"216","10.1007/s11356-020-12131-x","yunnan plateau"
"217","10.3390/plants9121801",NA
"218","10.1111/jam.14951",NA
"219","10.3389/fpls.2020.516818",NA
"220","10.1016/j.envpol.2020.115980",NA
"221","10.1016/j.jhazmat.2020.124325",NA
"222","10.3390/microorganisms8111695",NA
"223","10.1007/s10646-020-02298-x",NA
"224","10.3390/ijms21217987",NA
"225","10.1007/s00572-020-00991-7",NA
"226","10.1016/j.ecoenv.2020.111495",NA
"227","10.1007/s11356-020-10636-z",NA
"228","10.1371/journal.pone.0234099",NA
"229","10.3390/plants9080975",NA
"230","10.1016/j.micres.2020.126556",NA
"231","10.1016/j.ecoenv.2020.110988",NA
"232","10.1016/j.jtemb.2020.126594",NA
"233","10.13227/j.hjkx.201906119",NA
"234","10.3390/plants9070804","southern italy"
"235","10.1016/j.ecoenv.2020.110869",NA
"236","10.3390/jof6020087",NA
"237","10.3390/microorganisms8060899",NA
"238","10.1007/s00572-020-00962-y",NA
"239","10.1007/978-1-0716-0603-2_3",NA
"240","10.1007/s00572-020-00957-9","bangladeshi"
"241","10.3390/microorganisms8040602",NA
"242","10.1186/s40529-020-00290-6",NA
"243","10.3390/jof6020044",NA
"244","10.1016/j.envpol.2020.114406","yunnan province china"
"245","10.1016/j.envpol.2020.114406"," province southwest china"
"246","10.1016/j.envpol.2020.114406"," yunnan province"
"247","10.1016/j.ecoenv.2020.110485",NA
"248","10.3389/fpls.2020.00072",NA
"249","10.3390/microorganisms8030364","chamaejasme"
"250","10.3390/microorganisms8030364"," northern china"
"251","10.3390/ijms21051748",NA
"252","10.3390/microorganisms8030327","northeastern china"
"253","10.1080/15226514.2020.1725867",NA
"254","10.1038/s41598-020-59447-9","hulunbuir"
"255","10.1038/s41598-020-59447-9"," eastern china"
"256","10.3390/microorganisms8020230","inner mongolia"
"257","10.1007/s11356-020-07886-2","ganzhou"
"258","10.1007/s00442-020-04598-9",NA
"259","10.1007/s11356-020-07781-w",NA
"260","10.1016/j.scitotenv.2019.136294","pakistan"
"261","10.1016/j.jenvman.2019.109982",NA
"262","10.1016/j.jhazmat.2019.121873",NA
"263","10.1007/s11356-019-07300-6",NA
"264","10.1007/s00572-019-00927-w",NA
"265","10.3390/microorganisms7120651",NA
"266","10.3389/fmicb.2019.02634",NA
"267","10.3389/fmicb.2019.02591",NA
"268","10.1007/s11356-019-06785-5",NA
"269","10.1007/s10661-019-7873-6","durgapur india"
"270","10.1007/s10661-019-7873-6"," durgapur"
"271","10.1002/jsfa.10166","grand rapids"
"272","10.1002/jsfa.10166"," lollo bionda"
"273","10.1002/jsfa.10166"," atacama desert"
"274","10.1016/j.ecoenv.2019.109783",NA
"275","10.1038/s41598-019-51369-5",NA
"276","10.1038/s41598-019-50354-2","louisiana states"
"277","10.1038/s41598-019-50354-2"," united states"
"278","10.1016/j.chemosphere.2019.124710",NA
"279","10.1007/s00572-019-00914-1",NA
"280","10.3390/microorganisms7090289",NA
"281","10.1007/s42770-019-00125-y","brazilian"
"282","10.3389/fpls.2019.00843",NA
"283","10.1002/ecy.2855","north america"
"284","10.3389/fpls.2019.00895",NA
"285","10.1016/j.ecoenv.2019.109476",NA
"286","10.1016/j.jenvman.2019.06.130",NA
"287","10.1016/j.jenvman.2019.06.123",NA
"288","10.1016/j.ecoenv.2019.109383",NA
"289","10.1016/j.chemosphere.2019.06.160",NA
"290","10.1016/j.jhazmat.2019.120813",NA
"291","10.1371/journal.pone.0218969","samaru"
"292","10.1371/journal.pone.0218969"," northern guinea savanna"
"293","10.1371/journal.pone.0218969"," minjibir"
"294","10.1007/s00572-019-00900-7",NA
"295","10.1111/nph.15993","southwestern united"
"296","10.1007/s00572-019-00898-y","new caledonian"
