"","study_id","LANDUSE"
"224","10.3390/plants11131743"," agronomic"
"225","10.3390/plants11131743"," tomato crops"
"226","10.1016/j.envpol.2022.119661","agriculture"
"227","10.3389/fpls.2022.898378",NA
"228","10.3389/fpls.2022.892826","crop"
"229","10.3389/fpls.2022.892826"," restoration"
"230","10.3389/fpls.2022.892826"," urban"
"231","10.3389/fpls.2022.892826"," over-exploitation habitat destruction"
"232","10.3389/fpls.2022.898969",NA
"233","10.1016/j.plantsci.2022.111308",NA
"234","10.3389/fmicb.2022.881442","agricultural"
"235","10.1016/j.jhazmat.2022.129077","heavy metal"
"236","10.1016/j.jhazmat.2022.129077"," biological toxicity"
"237","10.1016/j.jhazmat.2022.129077"," agricultural"
"238","10.1016/j.jhazmat.2022.129077"," cadmium cd pollution"
"239","10.1016/j.jhazmat.2022.129077"," contaminated"
"240","10.1016/j.jhazmat.2022.129077"," sensitive crops"
"241","10.3390/microorganisms10051042","crop"
"242","10.3389/fpls.2022.880181",NA
"243","10.1007/s11356-022-19838-z","coal mining"
"244","10.1080/15226514.2022.2071832",NA
"245","10.1371/journal.pone.0266526","succession"
"246","10.3390/life12040497",NA
"247","10.1002/ps.6923","crops"
"248","10.1002/ps.6923"," agriculture"
"249","10.1002/ps.6923"," crop the bean"
"250","10.1186/s12870-022-03514-y",NA
"251","10.3390/plants11070861",NA
"252","10.3389/fmicb.2022.814323",NA
"253","10.7717/peerj.13080",NA
"254","10.3390/molecules27061752",NA
"255","10.1111/plb.13402",NA
"256","10.1007/s00203-022-02786-0","agricultural"
"257","10.1016/j.scitotenv.2022.153696","reclamation"
"258","10.1016/j.scitotenv.2022.153696"," heavy metal"
"259","10.1016/j.scitotenv.2022.153696"," agricultural"
"260","10.1016/j.scitotenv.2022.153696"," coal mine"
"261","10.1016/j.scitotenv.2022.153696"," soil heavy metal"
"262","10.1016/j.scitotenv.2022.153696"," soil heavy metals"
"263","10.1016/j.scitotenv.2022.153696"," contaminated"
"264","10.3390/plants11010089","crop"
"265","10.1007/s00248-021-01945-y","urban post-industrial"
"266","10.1007/s00248-021-01945-y"," the natural regeneration succession"
"267","10.1007/s00248-021-01945-y"," regeneration succession"
"268","10.1007/s00248-021-01945-y"," urban"
"269","10.1007/s00248-021-01945-y"," remediation restoration"
"270","10.1007/s00572-021-01059-w",NA
"271","10.3390/plants10122716","soil degradation"
"272","10.1007/s00284-021-02682-8",NA
"273","10.1038/s41598-021-03132-y",NA
"274","10.1002/eap.2501","crops the other"
"275","10.1002/eap.2501"," crops the"
"276","10.1002/eap.2501"," crops the alfalfa legume"
"277","10.1002/eap.2501"," major crops cultivated"
"278","10.1002/eap.2501"," crops microbes"
"279","10.1002/eap.2501"," agricultural"
"280","10.1002/eap.2501"," crop"
"281","10.1002/eap.2501"," crop each grown"
"282","10.1002/eap.2501"," crops"
"283","10.1002/eap.2501"," crop each"
"284","10.1002/ppp3.10094","summary arable agriculture"
"285","10.1002/ppp3.10094"," pollution"
"286","10.1002/ppp3.10094"," crop"
"287","10.1002/ppp3.10094"," agricultural"
"288","10.1002/ppp3.10094"," heavy application"
"289","10.1016/j.crmicr.2021.100061","land degradation problems"
"290","10.1016/j.crmicr.2021.100061"," land degradation posing"
"291","10.1371/journal.pone.0259959","ecological restoration"
"292","10.1016/j.scitotenv.2021.151803",NA
"293","10.1007/s11356-021-17256-1",NA
"294","10.1016/j.scitotenv.2021.151649",NA
"295","10.1080/15226514.2021.2002809","remediation"
"296","10.1080/15226514.2021.2002809"," the remediation"
"297","10.1007/s00572-021-01057-y","agricultural expansion"
"298","10.1007/s00572-021-01057-y"," forest restoration"
"299","10.1007/s00572-021-01057-y"," deforested areas"
"300","10.1007/s00572-021-01057-y"," forest regeneration"
"301","10.3389/fpls.2021.740524","crops"
"302","10.3389/fpls.2021.740524"," crop"
"303","10.1016/j.sjbs.2021.08.016","crop"
"304","10.3390/plants10091948",NA
"305","10.3390/microorganisms9091803","rhizosphere biotopes"
"306","10.1038/s41598-021-97674-w",NA
"307","10.1016/j.scitotenv.2021.149904","mining"
"308","10.3390/molecules26175321","polluted"
"309","10.1016/j.jhazmat.2021.125894",NA
"310","10.1016/j.scitotenv.2021.149843","coal mining"
"311","10.1016/j.scitotenv.2021.149843"," impacted"
"312","10.1016/j.scitotenv.2021.149843"," coal mine"
"313","10.1016/j.scitotenv.2021.149843"," degraded"
"314","10.1007/s00572-021-01048-z",NA
"315","10.1007/s00248-021-01841-5",NA
"316","10.1016/j.jenvman.2021.113516",NA
"317","10.1016/j.jtbi.2021.110859","agricultural"
"318","10.1016/j.jtbi.2021.110859"," restoration"
"319","10.1038/s41598-021-94092-w","crops"
"320","10.3389/fpls.2021.693044","intercropping"
"321","10.3389/fpls.2021.693044"," intercropped"
"322","10.3389/fpls.2021.693044"," degraded"
"323","10.3389/fpls.2021.693044"," remediation"
"324","10.3389/fpls.2021.693044"," polychlorinated biphenyls"
"325","10.3389/fpls.2021.693044"," degradation"
"326","10.3389/fpls.2021.693044"," vacant lands"
"327","10.3389/fpls.2021.693044"," contaminants"
"328","10.3389/fpls.2021.693044"," intercropping"
"329","10.3389/fpls.2021.693044"," peri-urban"
"330","10.3389/fpls.2021.693044"," contaminated"
"331","10.1007/s11356-021-15326-y","remediation"
"332","10.1007/s11356-021-15326-y"," heavy metal"
"333","10.1007/s00128-021-03329-x","pollution"
"334","10.3390/plants10071333","agronomic"
"335","10.1007/s11356-021-15045-4","contaminated"
"336","10.1007/s11356-021-15045-4"," metal(loid)-contaminated site"
"337","10.1002/jsfa.11382","pasture farming"
"338","10.1007/s11356-021-14821-6","soil contamination"
"339","10.1007/s11356-021-14821-6"," heavy metals"
"340","10.3390/plants10050950","agronomic"
"341","10.3390/plants10050950"," a lettuce crop"
"342","10.3390/jof7050361",NA
"343","10.1016/j.scitotenv.2021.147944","aromatic crops sage"
"344","10.1016/j.scitotenv.2021.147944"," remediation"
"345","10.1016/j.scitotenv.2021.147944"," agricultural"
"346","10.1016/j.scitotenv.2021.147944"," the contaminants"
"347","10.1016/j.scitotenv.2021.147944"," the restoration"
"348","10.1016/j.scitotenv.2021.147944"," te-polluted"
"349","10.1016/j.scitotenv.2021.147943","contamination"
"350","10.1016/j.scitotenv.2021.147943"," toxicity"
"351","10.13287/j.1001-9332.202105.022","amf legume crop utilization"
"352","10.13287/j.1001-9332.202105.022"," legume crop"
"353","10.1111/ppl.13454",NA
"354","10.1016/j.ecoenv.2021.112154",NA
"355","10.1007/s00572-021-01031-8",NA
"356","10.3389/fmicb.2021.618169","crop"
"357","10.1186/s12870-021-02949-z",NA
"358","10.1007/s11356-021-13755-3","crop"
"359","10.3389/fpls.2021.614162",NA
"360","10.1016/j.ecoenv.2021.112170","chlorinated contaminants"
"361","10.1016/j.ecoenv.2021.112170"," degradation pcb"
"362","10.1016/j.ecoenv.2021.112170"," pcbs"
"363","10.1016/j.ecoenv.2021.112170"," polychlorinated biphenyls"
"364","10.1016/j.ecoenv.2021.112170"," degradation soil pcb ryegrass"
"365","10.1016/j.ecoenv.2021.112170"," degradation"
"366","10.1016/j.ecoenv.2021.112170"," degradation biphenyls growth"
"367","10.1007/s00572-021-01028-3",NA
"368","10.13227/j.hjkx.202008154","desertification"
"369","10.13227/j.hjkx.202008154"," the ecological restoration"
"370","10.1038/s41598-021-85497-8",NA
"371","10.1016/j.ecoenv.2021.112072","crop"
"372","10.1016/j.ecoenv.2021.112072"," contamination"
"373","10.1016/j.ecoenv.2021.112072"," agriculture"
"374","10.1002/jeq2.20212","toxic"
"375","10.1002/jeq2.20212"," most environmentally degraded"
"376","10.1002/jeq2.20212"," contaminants"
"377","10.1002/jeq2.20212"," bonariensis am-colonized s."
"378","10.1002/jeq2.20212"," highly polluted"
"379","10.3389/fpls.2021.617892",NA
"380","10.1007/s00248-021-01710-1","an important food crop"
"381","10.1007/s00248-021-01710-1"," crop"
"382","10.1007/s00128-021-03113-x","metal contamination"
"383","10.1007/s00128-021-03113-x"," heavy metal"
"384","10.1016/j.ecoenv.2021.111996","lanthanum"
"385","10.1016/j.ecoenv.2021.111996"," contaminated"
"386","10.1016/j.ecoenv.2021.111996"," heavy metals"
"387","10.1016/j.envpol.2021.116499","conventional agriculture"
"388","10.1016/j.envpol.2021.116499"," the element bioaccumulation"
"389","10.3389/fmicb.2020.586050","soil contamination"
"390","10.3389/fmicb.2020.586050"," te-contaminated"
"391","10.3389/fmicb.2020.586050"," te"
"392","10.3389/fmicb.2020.586050"," agricultural"
"393","10.3389/fmicb.2020.586050"," soil biotopes"
"394","10.1016/j.sjbs.2020.09.053","agricultural"
"395","10.1016/j.sjbs.2020.09.053"," crop"
"396","10.1007/s11356-020-12131-x","cultivation"
"397","10.1007/s11356-020-12131-x"," farmland"
"398","10.1007/s11356-020-12131-x"," wasteland farmland"
"399","10.1007/s11356-020-12131-x"," slopeland"
"400","10.1007/s11356-020-12131-x"," wasteland farmland slopeland"
"401","10.1007/s11356-020-12131-x"," simulated heavy rainfall"
"402","10.1007/s11356-020-12131-x"," farmland slopeland"
"403","10.3390/plants9121801","aluminium"
"404","10.1111/jam.14951","yield-related"
"405","10.1111/jam.14951"," agriculture"
"406","10.3389/fpls.2020.516818",NA
"407","10.1016/j.envpol.2020.115980",NA
"408","10.1016/j.jhazmat.2020.124325","crops"
"409","10.1016/j.jhazmat.2020.124325"," agricultural"
"410","10.1016/j.jhazmat.2020.124325"," intercropping"
"411","10.1016/j.jhazmat.2020.124325"," lower bioaccumulation transfer"
"412","10.3390/microorganisms8111695","agricultural"
"413","10.1007/s10646-020-02298-x","agroecosystems"
"414","10.3390/ijms21217987",NA
"415","10.1007/s00572-020-00991-7","contaminated"
"416","10.1007/s00572-020-00991-7"," rare-earth-contaminated soils"
"417","10.1007/s00572-020-00991-7"," over-exploitation soil contamination"
"418","10.1007/s00572-020-00991-7"," over-exploitation contamination"
"419","10.1016/j.ecoenv.2020.111495","cu mine"
"420","10.1016/j.ecoenv.2020.111495"," mine"
"421","10.1016/j.ecoenv.2020.111495"," the remediation"
"422","10.1007/s11356-020-10636-z","pb-mining"
"423","10.1371/journal.pone.0234099",NA
"424","10.3390/plants9080975","cd contamination"
"425","10.1016/j.micres.2020.126556",NA
"426","10.1016/j.ecoenv.2020.110988","contaminated"
"427","10.1016/j.ecoenv.2020.110988"," the remediation"
"428","10.1016/j.jtemb.2020.126594","artificially contaminated"
"429","10.1016/j.jtemb.2020.126594"," contaminated"
"430","10.13227/j.hjkx.201906119",NA
"431","10.3390/plants9070804","vegetable crops"
"432","10.3390/plants9070804"," farming"
"433","10.1016/j.ecoenv.2020.110869","agricultural"
"434","10.1016/j.ecoenv.2020.110869"," heavy metal"
"435","10.1016/j.ecoenv.2020.110869"," polluted"
"436","10.1016/j.ecoenv.2020.110869"," chromium contamination"
"437","10.3390/jof6020087","a decommissioned industrial landfill"
"438","10.3390/microorganisms8060899","peat"
"439","10.3390/microorganisms8060899"," glandular"
"440","10.1007/s00572-020-00962-y",NA
"441","10.1007/978-1-0716-0603-2_3",NA
"442","10.1007/s00572-020-00957-9","crop"
"443","10.1007/s00572-020-00957-9"," agronomic"
"444","10.3390/microorganisms8040602","contaminated contaminated contamination not"
"445","10.3390/microorganisms8040602"," contaminated contaminated"
"446","10.3390/microorganisms8040602"," contaminated sediments"
"447","10.3390/microorganisms8040602"," agricultural"
"448","10.3390/microorganisms8040602"," crop"
"449","10.3390/microorganisms8040602"," substrate contamination"
"450","10.3390/microorganisms8040602"," the substrate contamination"
"451","10.3390/microorganisms8040602"," contaminated non-contaminated"
"452","10.3390/microorganisms8040602"," contaminated"
"453","10.1186/s40529-020-00290-6",NA
"454","10.3390/jof6020044","agricultural"
"455","10.3390/jof6020044"," a biofuel crop sorghum grown"
"456","10.3390/jof6020044"," disturbed"
"457","10.3390/jof6020044"," mo-mine"
